standard,lemma,postag
when,when,crq-cs
all,all,d
the,the,d
body's,body,n1g
members,member,n2
Rebelled,rebel,vvd
against,against,acp-p
the,the,d
belly,belly,n1
thus,thus,av
accused,accuse,vvd
it,it,pn
That,that,cs
only,only,av_j
like,like,acp-p
a,a,d
gulf,gulf,n1
it,it,pn
did,do,vvd
remain,remain,vvi
I',in,acp-p
th',the,d
midst,midst,n1
o',of,acp-p
th',the,d
body,body,n1
idle,idle,j
and,and,cc
unactive,unactive,j
Still,still,av
cupboarding,cupboard,vvg
the,the,d
viand,viand,n1
never,never,av-x
bearing,bear,vvg
Like,like,acp-p
labor,labour,n1
with,with,acp-p
the,the,d
rest,rest,n1
where,where,crq-cs
th',the,d
other,other,d
instruments,instrument,n2
Did,do,vvd
see,see,vvi
and,and,cc
hear,hear,vvi
devise,devise,vvi
instruct,instruct,vvi
walk,walk,vvi
feel,feel,vvi
And,and,cc
mutually,mutual,av_j
participate,participate,vvb
did,do,vvd
minister,minister,vvi
Unto,unto,acp-p
the,the,d
appetite,appetite,n1
and,and,cc
affection,affection,n1
common,common,j
Of,of,acp-p
the,the,d
whole,whole,j
body,body,n1
The,the,d
belly,belly,n1
answered,answer,vvd
SECOND,,
CITIZEN,,
Well,well,uh_mi
sir,sir,n1
what,what,crq-q
answer,answer,n1
made,make,vvd
the,the,d
belly,belly,n1
MENENIUS,,
Sir,sir,n1
I,i,pns
shall,shall,vmb
tell,tell,vvi
you,you,pn
With,with,acp-p
a,a,d
kind,kind,n1
of,of,acp-p
smile,smile,n1
Which,which,crq-r
ne'er,never,av-x
came,come,vvd
from,from,acp-p
the,the,d
lungs,lung,n2
but,but,acp-cc
even,even,av
thus,thus,av
For,for,acp-p
look,look,vvb
you,you,pn
I,i,pns
may,may,vmb
make,make,vvi
the,the,d
belly,belly,n1
smile,smile,vvi
As,as,acp-av
well,well,av
as,as,acp-cs
speak,speak,vvi
it,it,pn
tauntingly,taunt,av_vg
replied,reply,vvd
To,to,acp-p
th',the,d
discontented,discontent,j_vn
members,member,n2
the,the,d
mutinous,mutinous,j
parts,part,n2
That,that,cs
envied,envy,vvd
his,his,po
receipt,receipt,n1
even,even,av
so,so,av
most,most,av-s_d
fitly,fit,av_j
As,as,acp-cs
you,you,pn
malign,malign,vvb
our,our,po
senators,senator,n2
for,for,acp-p
that,that,cs
They,they,pns
are,be,vvb
not,not,xx
such,such,d
as,as,acp-cs
you,you,pn
SECOND,,
CITIZEN,,
Your,your,po
belly's,belly,n1g
answer,answer,n1
what,what,crq-q
The,the,d
kingly,kingly,j
crownèd,crown,vvn
head,head,n1
the,the,d
vigilant,vigilant,j
eye,eye,n1
The,the,d
counselor,counsellor,n1
heart,heart,n1
the,the,d
arm,arm,n1
our,our,po
soldier,soldier,n1
Our,our,po
steed,steed,n1
the,the,d
leg,leg,n1
the,the,d
tongue,tongue,n1
our,our,po
trumpeter,trumpeter,n1
With,with,acp-p
other,other,d
muniments,muniment,n2
and,and,cc
petty,petty,j
helps,help,n2
In,in,acp-p
this,this,d
our,our,po
fabric,fabric,n1
if,if,cs
that,that,cs
they,they,pns
MENENIUS,,
What,what,crq-q
then,then,av
'Fore,before,acp-p
me,i,pno
this,this,d
fellow,fellow,n1
speaks,speak,vvz
What,what,crq-q
then,then,av
What,what,crq-q
then,then,av
SECOND,,
CITIZEN,,
Should,shall,vmd
by,by,acp-p
the,the,d
cormorant,cormorant,n1
belly,belly,n1
be,be,vvi
restrained,restrain,vvn
Who,who,crq-r
is,be,vvz
the,the,d
sink,sink,n1
o',of,acp-p
th',the,d
body,body,n1
MENENIUS,,
Well,well,uh_mi
what,what,crq-q
then,then,av
SECOND,,
CITIZEN,,
The,the,d
former,former,j
agents,agent,n2
if,if,cs
they,they,pns
did,do,vvd
complain,complain,vvi
What,what,crq-q
could,can,vmd
the,the,d
belly,belly,n1
answer,answer,vvi
MENENIUS,,
I,i,pns
will,will,vmb
tell,tell,vvi
you,you,pn
If,if,cs
you'll,you|will,pn|vmb
bestow,bestow,vvi
a,a,d
small,small,j
of,of,acp-p
what,what,crq-r
you,you,pn
have,have,vvb
little,little,av_j
Patience,patience,n1
awhile,awhile,av
you'st,you|will,pn|vmb
hear,hear,vvb
the,the,d
belly's,belly,n1g
answer,answer,n1
SECOND,,
CITIZEN,,
You're,you|be,pn|vvb
long,long,j
about,about,acp-p
it,it,pn
MENENIUS,,
Note,note,vvb
me,i,pno
this,this,d
good,good,j
friend,friend,n1
Your,your,po
most,most,av-s_d
grave,grave,j
belly,belly,n1
was,be,vvd
deliberate,deliberate,j
Not,not,xx
rash,rash,j
like,like,acp-p
his,his,po
accusers,accuser,n2
and,and,cc
thus,thus,av
answered,answer,vvd
True,true,j
is,be,vvz
it,it,pn
my,my,po
incorporate,incorporate,j_vn
friends,friend,n2
quoth,quoth,vvd
he,he,pns
That,that,cs
I,i,pns
receive,receive,vvb
the,the,d
general,general,j
food,food,n1
at,at,acp-p
first,first,ord
Which,which,crq-r
you,you,pn
do,do,vvb
live,live,vvi
upon,upon,acp-p
and,and,cc
fit,fit,j
it,it,pn
is,be,vvz
Because,because,acp-cs
I,i,pns
am,be,vvm
the,the,d
storehouse,storehouse,n1
and,and,cc
the,the,d
shop,shop,n1
Of,of,acp-p
the,the,d
whole,whole,j
body,body,n1
But,but,acp-cc
if,if,cs
you,you,pn
do,do,vvb
remember,remember,vvi
I,i,pns
send,send,vvb
it,it,pn
through,through,acp-p
the,the,d
rivers,river,n2
of,of,acp-p
your,your,po
blood,blood,n1
Even,even,av
to,to,acp-p
the,the,d
court,court,n1
the,the,d
heart,heart,n1
to,to,acp-p
th',the,d
seat,seat,n1
o',of,acp-p
th',the,d
brain,brain,n1
And,and,cc
through,through,acp-p
the,the,d
cranks,crank,n2
and,and,cc
offices,office,n2
of,of,acp-p
man,man,n1
The,the,d
strongest,strong,j-s
nerves,nerve,n2
and,and,cc
small,small,j
inferior,inferior,j
veins,vein,n2
From,from,acp-p
me,i,pno
receive,receive,vvb
that,that,d
natural,natural,j
competency,competency,n1
Whereby,whereby,crq-cs
they,they,pns
live,live,vvb
And,and,cc
though,though,cs
that,that,d
all,all,av_d
at,at,acp-p
once,once,acp-av
You,you,pn
my,my,po
good,good,j
friends,friend,n2
this,this,d
says,say,vvz
the,the,d
belly,belly,n1
mark,mark,vvb
me,i,pno
SECOND,,
CITIZEN,,
Ay,ay,uh
sir,sir,n1
well,well,uh_mi
well,well,uh_mi
MENENIUS,,
Though,though,cs
all,all,av_d
at,at,acp-p
once,once,acp-av
cannot,can,vmb-x
See,see,vvb
what,what,crq-r
I,i,pns
do,do,vvb
deliver,deliver,vvi
out,out,av
to,to,acp-p
each,each,d
Yet,yet,av
I,i,pns
can,can,vmb
make,make,vvi
my,my,po
audit,audit,n1
up,up,acp-av
that,that,cs
all,all,d
From,from,acp-p
me,i,pno
do,do,vvb
back,back,av
receive,receive,vvi
the,the,d
flour,flour,n1
of,of,acp-p
all,all,d
And,and,cc
leave,leave,vvb
me,i,pno
but,but,acp-av
the,the,d
bran,bran,n1
What,what,crq-q
say,say,vvb
you,you,pn
to,to,acp-p
't,it,pn
SECOND,,
CITIZEN,,
It,it,pn
was,be,vvd
an,a,d
answer,answer,n1
How,how,crq-q
apply,apply,vvb
you,you,pn
this,this,d
MENENIUS,,
The,the,d
senators,senator,n2
of,of,acp-p
Rome,Rome,n1-nn
are,be,vvb
this,this,d
good,good,j
belly,belly,n1
And,and,cc
you,you,pn
the,the,d
mutinous,mutinous,j
members,member,n2
For,for,acp-p
examine,examine,vvb
Their,their,po
counsels,counsel,n2
and,and,cc
their,their,po
cares,care,n2
digest,digest,vvb
things,thing,n2
rightly,right,av_j
Touching,touch,vvg
the,the,d
weal,weal,n1
o',of,acp-p
th',the,d
common,common,j
you,you,pn
shall,shall,vmb
find,find,vvi
No,no,d-x
public,public,j
benefit,benefit,n1
which,which,crq-r
you,you,pn
receive,receive,vvb
But,but,acp-cc
it,it,pn
proceeds,proceed,vvz
or,or,cc
comes,come,vvz
from,from,acp-p
them,they,pno
to,to,acp-p
you,you,pn
And,and,cc
no,no,d-x
way,way,n1
from,from,acp-p
yourselves,yourselves,px
What,what,crq-q
do,do,vvb
you,you,pn
think,think,vvi
You,you,pn
the,the,d
great,great,j
toe,toe,n1
of,of,acp-p
this,this,d
assembly,assembly,n1
SECOND,,
CITIZEN,,
I,i,pns
the,the,d
great,great,j
toe,toe,n1
Why,why,crq-q
the,the,d
great,great,j
toe,toe,n1
MENENIUS,,
For,for,acp-p
that,that,cs
being,be,vvg
one,one,crd
o',of,acp-p
th',the,d
lowest,low,j-s
basest,base,j-s
poorest,poor,j-s
Of,of,acp-p
this,this,d
most,most,av-s_d
wise,wise,j
rebellion,rebellion,n1
thou,thou,pns
goest,go,vv2
foremost,foremost,j-s
Thou,thou,pns
rascal,rascal,n1
that,that,cs
art,be,vv2
