standard,lemma,postag
so,so,av
slight,slight,j
PHILO,,
Sir,sir,n1
sometimes,sometime,av
when,when,crq-cs
he,he,pns
is,be,vvz
not,not,xx
Antony,Antony,n1-nn
He,he,pns
comes,come,vvz
too,too,av
short,short,j
of,of,acp-p
that,that,d
great,great,j
property,property,n1
Which,which,crq-r
still,still,av
should,shall,vmd
go,go,vvi
with,with,acp-p
Antony,Antony,n1-nn
DEMETRIUS,,
I,i,pns
am,be,vvm
full,full,j
sorry,sorry,j
That,that,cs
he,he,pns
approves,approve,vvz
the,the,d
common,common,j
liar,liar,n1
who,who,crq-r
Thus,thus,av
speaks,speak,vvz
of,of,acp-p
him,he,pno
at,at,acp-p
Rome,Rome,n1-nn
but,but,acp-cc
I,i,pns
will,will,vmb
hope,hope,vvi
Of,of,acp-p
better,better,j-c
deeds,deed,n2
tomorrow,tomorrow,av_n
Rest,rest,vvb
you,you,pn
happy,happy,j
They,,
exit,,
Scene,,
2,,
Enter,,
Enobarbus,,
Lamprius,,
a,,
Soothsayer,,
Rannius,,
Lucillius,,
Charmian,,
Iras,,
Mardian,,
the,,
Eunuch,,
Alexas,,
and,,
Servants,,
CHARMIAN,,
Lord,lord,n1
Alexas,Alexas,n1-nn
sweet,sweet,j
Alexas,Alexas,n1-nn
most,most,av-s_d
anything,anything,pi
Alexas,Alexas,n1-nn
almost,almost,av
most,most,av-s_d
absolute,absolute,j
Alexas,Alexas,n1-nn
where's,where|be,crq-q|vvz
the,the,d
soothsayer,soothsayer,n1
that,that,cs
you,you,pn
praised,praise,vvd
so,so,av
to,to,acp-p
th',the,d
Queen,queen,n1
O,oh,uh
that,that,cs
I,i,pns
knew,know,vvd
this,this,d
husband,husband,n1
which,which,crq-r
you,you,pn
say,say,vvb
must,must,vmb
charge,charge,vvi
his,his,po
horns,horn,n2
with,with,acp-p
garlands,garland,n2
ALEXAS,,
Soothsayer,soothsayer,n1
SOOTHSAYER,,
Your,your,po
will,will,n1
CHARMIAN,,
Is,be,vvz
this,this,d
the,the,d
man,man,n1
Is,be,vvz
't,it,pn
you,you,pn
sir,sir,n1
that,that,cs
know,know,vvb
things,thing,n2
SOOTHSAYER,,
In,in,acp-p
nature's,nature,n1g
infinite,infinite,j
book,book,n1
of,of,acp-p
secrecy,secrecy,n1
A,a,d
little,little,av_j
I,i,pns
can,can,vmb
read,read,vvi
ALEXAS,,
to,,
Charmian,,
Show,show,vvb
him,he,pno
your,your,po
hand,hand,n1
ENOBARBUS,,
to,,
Servants,,
Bring,bring,vvb
in,in,acp-p
the,the,d
banquet,banquet,n1
quickly,quick,av_j
wine,wine,n1
enough,enough,av_d
Cleopatra's,Cleopatra,n1g-nn
health,health,n1
to,to,acp-cs
drink,drink,vvi
CHARMIAN,,
giving,,
her,,
hand,,
to,,
the,,
Soothsayer,,
Good,good,j
sir,sir,n1
give,give,vvb
me,i,pno
good,good,j
fortune,fortune,n1
SOOTHSAYER,,
I,i,pns
make,make,vvb
not,not,xx
but,but,acp-cc
foresee,foresee,vvb
CHARMIAN,,
Pray,pray,vvb
then,then,av
foresee,foresee,vvb
me,i,pno
one,one,pi
SOOTHSAYER,,
You,you,pn
shall,shall,vmb
be,be,vvi
yet,yet,av
far,far,av_j
fairer,fair,j-c
than,than,cs
you,you,pn
are,be,vvb
CHARMIAN,,
He,he,pns
means,mean,vvz
in,in,acp-p
flesh,flesh,n1
IRAS,,
No,no,uh-x
you,you,pn
shall,shall,vmb
paint,paint,vvi
when,when,crq-cs
you,you,pn
are,be,vvb
old,old,j
CHARMIAN,,
Wrinkles,wrinkle,n2
forbid,forbid,vvb
ALEXAS,,
Vex,vex,vvb
not,not,xx
his,his,po
prescience,prescience,n1
Be,be,vvb
attentive,attentive,j
CHARMIAN,,
Hush,hush,uh_j
SOOTHSAYER,,
You,you,pn
shall,shall,vmb
be,be,vvi
more,more,av-c_d
beloving,belove,vvg
than,than,cs
beloved,belove,vvn
CHARMIAN,,
I,i,pns
had,have,vvd
rather,rather,av-c
heat,heat,vvb
my,my,po
liver,liver,n1
with,with,acp-p
drinking,drink,vvg
ALEXAS,,
Nay,nay,uh
hear,hear,vvb
him,he,pno
CHARMIAN,,
Good,good,j
now,now,av
some,some,d
excellent,excellent,j
fortune,fortune,n1
Let,let,vvb
me,i,pno
be,be,vvi
married,marry,vvn
to,to,acp-p
three,three,crd
kings,king,n2
in,in,acp-p
a,a,d
forenoon,forenoon,n1
and,and,cc
widow,widow,n1
them,they,pno
all,all,d
Let,let,vvb
me,i,pno
have,have,vvi
a,a,d
child,child,n1
at,at,acp-p
fifty,fifty,crd
to,to,acp-p
whom,who,crq-ro
Herod,Herod,n1-nn
of,of,acp-p
Jewry,Jewry,n1-nn
may,may,vmb
do,do,vvi
homage,homage,n1
Find,find,vvb
me,i,pno
to,to,acp-cs
marry,marry,vvi
me,i,pno
with,with,acp-p
Octavius,Octavius,n1-nn
Caesar,Caesar,n1-nn
and,and,cc
companion,companion,vvb
me,i,pno
with,with,acp-p
my,my,po
mistress,mistress,n1
SOOTHSAYER,,
You,you,pn
shall,shall,vmb
outlive,outlive,vvi
the,the,d
lady,lady,n1
whom,who,crq-ro
you,you,pn
serve,serve,vvb
CHARMIAN,,
O,oh,uh
excellent,excellent,j
I,i,pns
love,love,vvb
long,long,j
life,life,n1
better,better,av-c_j
than,than,cs
figs,fig,n2
SOOTHSAYER,,
You,you,pn
have,have,vvb
seen,see,vvn
and,and,cc
proved,prove,vvn
a,a,d
fairer,fair,j-c
former,former,j
fortune,fortune,n1
Than,than,cs
that,that,d
which,which,crq-r
is,be,vvz
to,to,acp-cs
approach,approach,vvi
CHARMIAN,,
Then,then,av
belike,belike,av
my,my,po
children,child,n2
shall,shall,vmb
have,have,vvi
no,no,d-x
