standard,lemma,postag
of,of,acp-p
it,it,pn
he,he,pns
will,will,vmb
unloose,unloose,vvi
Familiar,familiar,j
as,as,acp-cs
his,his,po
garter,garter,n1
that,that,cs
when,when,crq-cs
he,he,pns
speaks,speak,vvz
The,the,d
air,air,n1
a,a,d
chartered,charter,j_vn
libertine,libertine,n1
is,be,vvz
still,still,j
And,and,cc
the,the,d
mute,mute,j
wonder,wonder,n1
lurketh,lurk,vvz
in,in,acp-p
men's,man,n2g
ears,ear,n2
To,to,acp-cs
steal,steal,vvi
his,his,po
sweet,sweet,j
and,and,cc
honeyed,honey,j_vn
sentences,sentence,n2
So,so,av
that,that,cs
the,the,d
art,art,n1
and,and,cc
practic,practic,j
part,part,n1
of,of,acp-p
life,life,n1
Must,must,vmb
be,be,vvi
the,the,d
mistress,mistress,n1
to,to,acp-p
this,this,d
theoric,theoric,n1
Which,which,crq-r
is,be,vvz
a,a,d
wonder,wonder,n1
how,how,crq-cs
his,his,po
Grace,grace,n1
should,shall,vmd
glean,glean,vvi
it,it,pn
Since,since,acp-cs
his,his,po
addiction,addiction,n1
was,be,vvd
to,to,acp-p
courses,course,n2
vain,vain,j
His,his,po
companies,company,n2
unlettered,unlettered,j
rude,rude,j
and,and,cc
shallow,shallow,j
His,his,po
hours,hour,n2
filled,fill,vvn
up,up,acp-av
with,with,acp-p
riots,riot,n2
banquets,banquet,n2
sports,sport,n2
And,and,cc
never,never,av-x
noted,note,vvn
in,in,acp-p
him,he,pno
any,any,d
study,study,n1
Any,any,d
retirement,retirement,n1
any,any,d
sequestration,sequestration,n1
From,from,acp-p
open,open,j
haunts,haunt,n2
and,and,cc
popularity,popularity,n1
BISHOP,,
OF,,
ELY,,
The,the,d
strawberry,strawberry,n1
grows,grow,vvz
underneath,underneath,acp-p
the,the,d
nettle,nettle,n1
And,and,cc
wholesome,wholesome,j
berries,berry,n2
thrive,thrive,vvb
and,and,cc
ripen,ripen,vvb
best,best,av-s_j
Neighbored,neighbour,vvn
by,by,acp-p
fruit,fruit,n1
of,of,acp-p
baser,base,j-c
quality,quality,n1
And,and,cc
so,so,av
the,the,d
Prince,prince,n1
obscured,obscure,vvd
his,his,po
contemplation,contemplation,n1
Under,under,acp-p
the,the,d
veil,veil,n1
of,of,acp-p
wildness,wildness,n1
which,which,crq-r
no,no,d-x
doubt,doubt,n1
Grew,grow,vvd
like,like,acp-p
the,the,d
summer,summer,n1
grass,grass,n1
fastest,fast,av-s_j
by,by,acp-p
night,night,n1
Unseen,unseen,j
yet,yet,av
crescive,crescive,j
in,in,acp-p
his,his,po
faculty,faculty,n1
BISHOP,,
OF,,
CANTERBURY,,
It,it,pn
must,must,vmb
be,be,vvi
so,so,av
for,for,acp-p
miracles,miracle,n2
are,be,vvb
ceased,cease,vvn
And,and,cc
therefore,therefore,av
we,we,pns
must,must,vmb
needs,needs,av
admit,admit,vvi
the,the,d
means,mean,n2
How,how,crq-cs
things,thing,n2
are,be,vvb
perfected,perfect,vvn
BISHOP,,
OF,,
ELY,,
But,but,acp-cc
my,my,po
good,good,j
lord,lord,n1
How,how,crq-cs
