standard,lemma,postag
wrong,wrong,n1_j
to,to,acp-p
none,none,pi-x
Be,be,vvb
able,able,j
for,for,acp-p
thine,thy,po
enemy,enemy,n1
Rather,rather,av-c
in,in,acp-p
power,power,n1
than,than,cs
use,use,n1
and,and,cc
keep,keep,vvb
thy,thy,po
friend,friend,n1
Under,under,acp-p
thy,thy,po
own,own,d
life's,life,n1g
key,key,n1
Be,be,vvb
checked,check,vvn
for,for,acp-p
silence,silence,n1
But,but,acp-cc
never,never,av-x
taxed,tax,vvn
for,for,acp-p
speech,speech,n1
What,what,crq-q
heaven,heaven,n1
more,more,d-c
will,will,vmb
That,that,cs
thee,thou,pno
may,may,vmb
furnish,furnish,vvi
and,and,cc
my,my,po
prayers,prayer,n2
pluck,pluck,vvi
down,down,acp-av
Fall,fall,vvb
on,on,acp-p
thy,thy,po
head,head,n1
To,,
Lafew,,
Farewell,farewell,uh_n
my,my,po
lord,lord,n1
'Tis,it|be,pn|vvz
an,a,d
unseasoned,unseasoned,j
courtier,courtier,n1
Good,good,j
my,my,po
lord,lord,n1
Advise,advise,vvb
him,he,pno
LAFEW,,
He,he,pns
cannot,can,vmb-x
want,want,vvi
the,the,d
best,best,j-s
that,that,cs
shall,shall,vmb
Attend,attend,vvi
his,his,po
love,love,n1
COUNTESS,,
Heaven,heaven,n1
bless,bless,vvb
him,he,pno
Farewell,farewell,uh_n
Bertram,Bertram,n1-nn
BERTRAM,,
The,the,d
best,best,j-s
wishes,wish,n2
that,that,cs
can,can,vmb
be,be,vvi
forged,forge,vvn
in,in,acp-p
your,your,po
thoughts,thought,n2
be,be,vvb
servants,servant,n2
to,to,acp-p
you,you,pn
Countess,,
exits,,
To,,
Helen,,
Be,be,vvb
comfortable,comfortable,j
to,to,acp-p
my,my,po
mother,mother,n1
your,your,po
mistress,mistress,n1
and,and,cc
make,make,vvb
much,much,d
of,of,acp-p
her,she,pno
LAFEW,,
Farewell,farewell,uh_n
pretty,pretty,j
lady,lady,n1
You,you,pn
must,must,vmb
hold,hold,vvi
the,the,d
credit,credit,n1
of,of,acp-p
your,your,po
father,father,n1
Bertram,,
and,,
Lafew,,
exit,,
HELEN,,
O,oh,uh
were,be,vvd
that,that,d
all,all,d
I,i,pns
think,think,vvb
not,not,xx
on,on,acp-p
my,my,po
father,father,n1
And,and,cc
these,these,d
great,great,j
tears,tear,n2
grace,grace,vvb
his,his,po
remembrance,remembrance,n1
more,more,av-c_d
Than,than,cs
those,those,d
I,i,pns
shed,shed,vvb
for,for,acp-p
him,he,pno
What,what,crq-q
was,be,vvd
he,he,pns
like,like,acp-p
I,i,pns
have,have,vvb
forgot,forget,vvn
him,he,pno
My,my,po
imagination,imagination,n1
Carries,carry,vvz
no,no,d-x
favor,favour,n1
in,in,acp-p
't,it,pn
but,but,acp-p
Bertram's,Bertram,n1g-nn
I,i,pns
am,be,vvm
undone,undo,vvn
There,there,acp-av
is,be,vvz
no,no,d-x
living,live,n1_vg
none,none,pi-x
If,if,cs
Bertram,Bertram,n1-nn
be,be,vvb
away,away,av
'Twere,it|be,pn|vvd
all,all,av_d
one,one,crd
That,that,cs
I,i,pns
should,shall,vmd
love,love,vvi
a,a,d
bright,bright,j
particular,particular,j
star,star,n1
And,and,cc
think,think,vvb
to,to,acp-cs
wed,wed,vvi
it,it,pn
he,he,pns
is,be,vvz
so,so,av
above,above,acp-p
me,i,pno
In,in,acp-p
his,his,po
bright,bright,j
radiance,radiance,n1
and,and,cc
collateral,collateral,j
light,light,n1
Must,must,vmb
I,i,pns
be,be,vvi
comforted,comfort,vvn
not,not,xx
in,in,acp-p
his,his,po
sphere,sphere,n1
Th',the,d
ambition,ambition,n1
in,in,acp-p
my,my,po
love,love,n1
thus,thus,av
plagues,plague,vvz
itself,itself,px
The,the,d
hind,hind,n1
that,that,cs
would,will,vmd
be,be,vvi
mated,mate,vvn
by,by,acp-p
the,the,d
lion,lion,n1
Must,must,vmb
die,die,vvi
for,for,acp-p
love,love,n1
'Twas,it|be,pn|vvd
pretty,pretty,j
though,though,cs
a,a,d
plague,plague,n1
To,to,acp-cs
