standard,lemma,postag
Highness,highness,n1
to,to,acp-cs
commit,commit,vvi
me,i,pno
now,now,av
RICHARD,,
Why,why,crq-cs
this,this,d
it,it,pn
is,be,vvz
when,when,crq-cs
men,man,n2
are,be,vvb
ruled,rule,vvn
by,by,acp-p
women,woman,n2
'Tis,it|be,pn|vvz
not,not,xx
the,the,d
King,king,n1
that,that,cs
sends,send,vvz
you,you,pn
to,to,acp-p
the,the,d
Tower,tower,n1
My,my,po
Lady,lady,n1
Grey,Grey,n1-nn
his,his,po
wife,wife,n1
Clarence,Clarence,n1-nn
'tis,it|be,pn|vvz
she,she,pns
That,that,cs
tempers,temper,n2
him,he,pno
to,to,acp-p
this,this,d
extremity,extremity,n1
Was,be,vvd
it,it,pn
not,not,xx
she,she,pns
and,and,cc
that,that,d
good,good,j
man,man,n1
of,of,acp-p
worship,worship,n1
Anthony,Anthony,n1-nn
Woodeville,Woodville,n1-nn
her,her,po
brother,brother,n1
there,there,acp-av
That,that,cs
made,make,vvd
him,he,pno
send,send,vvi
Lord,lord,n1
Hastings,Hastings,n1-nn
to,to,acp-p
the,the,d
Tower,tower,n1
From,from,acp-p
whence,whence,crq-cs
this,this,d
present,present,j
day,day,n1
he,he,pns
is,be,vvz
delivered,deliver,vvn
We,we,pns
are,be,vvb
not,not,xx
safe,safe,j
Clarence,Clarence,n1-nn
we,we,pns
are,be,vvb
not,not,xx
safe,safe,j
CLARENCE,,
By,by,acp-p
heaven,heaven,n1
I,i,pns
think,think,vvb
there,there,acp-av
is,be,vvz
no,no,d-x
man,man,n1
secure,secure,j
But,but,acp-cc
the,the,d
Queen's,queen,n1g
kindred,kindred,n1
and,and,cc
night-walking,night-walking,j
heralds,herald,n2
That,that,cs
trudge,trudge,vvb
betwixt,betwixt,acp-p
the,the,d
King,king,n1
and,and,cc
Mistress,mistress,n1
Shore,Shore,n1-nn
Heard,hear,vvd
you,you,pn
not,not,xx
what,what,crq-r
an,a,d
humble,humble,j
suppliant,suppliant,j
Lord,lord,n1
Hastings,Hastings,n1-nn
was,be,vvd
to,to,acp-p
her,she,pno
for,for,acp-p
his,his,po
delivery,delivery,n1
RICHARD,,
Humbly,humble,av_j
complaining,complain,vvg
to,to,acp-p
her,her,po
Deity,deity,n1
Got,get,vvd
my,my,po
Lord,lord,n1
Chamberlain,chamberlain,n1
his,his,po
liberty,liberty,n1
I'll,i|will,pns|vmb
tell,tell,vvi
you,you,pn
what,what,crq-r
I,i,pns
think,think,vvb
it,it,pn
is,be,vvz
our,our,po
way,way,n1
If,if,cs
we,we,pns
will,will,vmb
keep,keep,vvi
in,in,acp-p
favor,favour,n1
with,with,acp-p
the,the,d
King,king,n1
To,to,acp-cs
be,be,vvi
her,her,po
men,man,n2
and,and,cc
wear,wear,vvb
her,her,po
livery,livery,n1
The,the,d
jealous,jealous,j
o'erworn,overwear,j_vn
widow,widow,n1
and,and,cc
herself,herself,px
Since,since,acp-cs
that,that,cs
our,our,po
brother,brother,n1
dubbed,dub,vvn
them,they,pno
gentlewomen,gentlewoman,n2
Are,be,vvb
mighty,mighty,j
gossips,gossip,n2
in,in,acp-p
our,our,po
monarchy,monarchy,n1
BRAKENBURY,,
I,i,pns
beseech,beseech,vvb
your,your,po
Graces,grace,n2
both,both,av_d
to,to,acp-cs
pardon,pardon,vvi
me,i,pno
His,his,po
Majesty,majesty,n1
hath,have,vvz
straitly,strait,av_j
given,give,vvn
in,in,acp-p
charge,charge,n1
That,that,cs
no,no,d-x
man,man,n1
shall,shall,vmb
have,have,vvi
private,private,j
conference,conference,n1
Of,of,acp-p
what,what,crq-r
degree,degree,n1
soever,soever,av
with,with,acp-p
your,your,po
brother,brother,n1
RICHARD,,
Even,even,av
so,so,av
An,an,cs
please,please,vvb
your,your,po
Worship,worship,n1
Brakenbury,Brakenbury,n1-nn
You,you,pn
may,may,vmb
partake,partake,vvi
of,of,acp-p
anything,anything,pi
we,we,pns
say,say,vvb
We,we,pns
speak,speak,vvb
no,no,d-x
treason,treason,n1
man,man,n1
We,we,pns
say,say,vvb
the,the,d
King,king,n1
Is,be,vvz
wise,wise,j
and,and,cc
virtuous,virtuous,j
and,and,cc
his,his,po
noble,noble,j
queen,queen,n1
Well,well,av
struck,strike,vvn
in,in,acp-p
years,year,n2
fair,fair,j
and,and,cc
not,not,xx
jealous,jealous,j
We,we,pns
say,say,vvb
that,that,cs
Shore's,Shore,n1g-nn
wife,wife,n1
hath,have,vvz
a,a,d
pretty,pretty,j
foot,foot,n1
A,a,d
cherry,cherry,n1
lip,lip,n1
a,a,d
bonny,bonny,j
eye,eye,n1
a,a,d
passing,pass,av_vg
pleasing,please,j_vg
tongue,tongue,n1
And,and,cc
that,that,cs
the,the,d
Queen's,queen,n1g
kindred,kindred,n1
are,be,vvb
made,make,vvn
gentlefolks,gentlefolk,n2
How,how,crq-q
say,say,vvb
you,you,pn
sir,sir,n1
Can,can,vmb
you,you,pn
deny,deny,vvi
all,all,d
this,this,d
