standard,lemma,postag
sailed,sail,vvn
Before,before,acp-p
the,the,d
always-wind-obeying,always-wind-obeying,j
deep,deep,j
Gave,give,vvd
any,any,d
tragic,tragic,j
instance,instance,n1
of,of,acp-p
our,our,po
harm,harm,n1
But,but,acp-cc
longer,long,av-c_j
did,do,vvd
we,we,pns
not,not,xx
retain,retain,vvi
much,much,d
hope,hope,n1
For,for,acp-p
what,what,crq-r
obscurèd,obscure,j_vn
light,light,n1
the,the,d
heavens,heaven,n2
did,do,vvd
grant,grant,vvi
Did,do,vvd
but,but,acp-av
convey,convey,vvi
unto,unto,acp-p
our,our,po
fearful,fearful,j
minds,mind,n2
A,a,d
doubtful,doubtful,j
warrant,warrant,n1
of,of,acp-p
immediate,immediate,j
death,death,n1
Which,which,crq-r
though,though,cs
myself,myself,px
would,will,vmd
gladly,glad,av_j
have,have,vvi
embraced,embrace,vvn
Yet,yet,av
the,the,d
incessant,incessant,j
weepings,weep,n2_vg
of,of,acp-p
my,my,po
wife,wife,n1
Weeping,weep,vvg
before,before,acp-av
for,for,acp-p
what,what,crq-r
she,she,pns
saw,see,vvd
must,must,vmb
come,come,vvi
And,and,cc
piteous,piteous,j
plainings,plain,n2_vg
of,of,acp-p
the,the,d
pretty,pretty,j
babes,babe,n2
That,that,cs
mourned,mourn,vvd
for,for,acp-p
fashion,fashion,n1
ignorant,ignorant,j
what,what,crq-r
to,to,acp-cs
fear,fear,vvi
Forced,force,vvd
me,i,pno
to,to,acp-cs
seek,seek,vvi
delays,delay,n2
for,for,acp-p
them,they,pno
and,and,cc
me,i,pno
And,and,cc
this,this,d
it,it,pn
was,be,vvd
for,for,acp-p
other,other,d
means,mean,n2
was,be,vvd
none,none,pi-x
The,the,d
sailors,sailor,n2
sought,seek,vvn
for,for,acp-p
safety,safety,n1
by,by,acp-p
our,our,po
boat,boat,n1
And,and,cc
left,leave,vvd
the,the,d
ship,ship,n1
then,then,av
sinking-ripe,sinking-ripe,j
to,to,acp-p
us,we,pno
My,my,po
wife,wife,n1
more,more,av-c_d
careful,careful,j
for,for,acp-p
the,the,d
latter-born,latter-born,j
Had,have,vvd
fastened,fasten,vvn
him,he,pno
unto,unto,acp-p
a,a,d
small,small,j
spare,spare,j
mast,mast,n1
Such,such,d
as,as,acp-cs
seafaring,seafaring,j
men,man,n2
provide,provide,vvb
for,for,acp-p
storms,storm,n2
To,to,acp-p
him,he,pno
one,one,crd
of,of,acp-p
the,the,d
other,other,d
twins,twin,n2
was,be,vvd
bound,bind,vvn
Whilst,while,cs
I,i,pns
had,have,vvd
been,be,vvn
like,like,acp-p
heedful,heedful,j
of,of,acp-p
the,the,d
other,other,pi_d
The,the,d
children,child,n2
thus,thus,av
disposed,dispose,vvn
my,my,po
wife,wife,n1
and,and,cc
I,i,pns
Fixing,fix,vvg
our,our,po
eyes,eye,n2
on,on,acp-p
whom,who,crq-ro
our,our,po
care,care,n1
was,be,vvd
fixed,fix,vvn
Fastened,fasten,vvn
ourselves,ourselves,px
at,at,acp-p
either,either,av_d
end,end,n1
the,the,d
mast,mast,n1
And,and,cc
floating,float,vvg
straight,straight,av
obedient,obedient,j
to,to,acp-p
the,the,d
stream,stream,n1
Was,be,vvd
carried,carry,vvn
towards,towards,acp-p
Corinth,Corinth,n1-nn
as,as,acp-cs
we,we,pns
thought,think,vvd
At,at,acp-p
length,length,n1
the,the,d
sun,sun,n1
gazing,gaze,vvg
upon,upon,acp-p
the,the,d
earth,earth,n1
Dispersed,disperse,vvn
those,those,d
vapors,vapour,n2
that,that,cs
offended,offend,vvd
us,we,pno
And,and,cc
by,by,acp-p
the,the,d
benefit,benefit,n1
of,of,acp-p
his,his,po
wished,wish,j_vn
light,light,n1
The,the,d
seas,sea,n2
waxed,wax,vvd
calm,calm,j
and,and,cc
we,we,pns
discoverèd,discover,vvd
Two,two,crd
ships,ship,n2
from,from,acp-p
far,far,av_j
making,make,vvg
amain,amain,av
to,to,acp-p
us,we,pno
Of,of,acp-p
Corinth,Corinth,n1-nn
that,that,d
of,of,acp-p
Epidaurus,Epidaurus,n1-nn
this,this,d
But,but,acp-cc
ere,ere,acp-cs
they,they,pns
came,come,vvd
O,oh,uh
let,let,vvb
me,i,pno
say,say,vvi
no,no,av-x_d
more,more,av-c_d
Gather,gather,vvb
the,the,d
sequel,sequel,n1
by,by,acp-p
that,that,cs
went,go,vvd
before,before,acp-av
DUKE,,
Nay,nay,uh
forward,forward,av_j
old,old,j
man,man,n1
Do,do,vvb
not,not,xx
break,break,vvi
off,off,acp-av
so,so,av
For,for,acp-cs
we,we,pns
may,may,vmb
pity,pity,vvi
though,though,cs
not,not,xx
pardon,pardon,vvb
thee,thou,pno
EGEON,,
O,oh,uh
had,have,vvd
the,the,d
gods,god,n2
done,do,vvn
so,so,av
I,i,pns
had,have,vvd
not,not,xx
now,now,av
Worthily,worthy,av_j
termed,term,vvn
them,they,pno
merciless,merciless,j
to,to,acp-p
us,we,pno
For,for,acp-p
ere,ere,acp-cs
the,the,d
ships,ship,n2
