standard,lemma,postag
them,they,pno
thick,thick,j
These,these,d
growing,grow,j_vg
feathers,feather,n2
plucked,pluck,vvn
from,from,acp-p
Caesar's,Caesar,n1g-nn
wing,wing,n1
Will,will,vmb
make,make,vvi
him,he,pno
fly,fly,vvi
an,a,d
ordinary,ordinary,j
pitch,pitch,n1
Who,who,crq-q
else,else,av
would,will,vmd
soar,soar,vvi
above,above,acp-p
the,the,d
view,view,n1
of,of,acp-p
men,man,n2
And,and,cc
keep,keep,vvb
us,we,pno
all,all,d
in,in,acp-p
servile,servile,j
fearfulness,fearfulness,n1
They,,
exit,,
in,,
different,,
directions,,
Scene,,
2,,
Enter,,
Caesar,,
Antony,,
for,,
the,,
course,,
Calphurnia,,
Portia,,
Decius,,
Cicero,,
Brutus,,
Cassius,,
Casca,,
a,,
Soothsayer,,
after,,
them,,
Marullus,,
and,,
Flavius,,
and,,
Commoners,,
CAESAR,,
Calphurnia,Calphurnia,n1-nn
CASCA,,
Peace,peace,n1
ho,ho,uh
Caesar,Caesar,n1-nn
speaks,speak,vvz
CAESAR,,
Calphurnia,Calphurnia,n1-nn
CALPHURNIA,,
Here,here,av
my,my,po
lord,lord,n1
CAESAR,,
Stand,stand,vvb
you,you,pn
directly,direct,av_j
in,in,acp-p
Antonius',Antonius,n1g-nn
way,way,n1
When,when,crq-cs
he,he,pns
doth,do,vvz
run,run,vvi
his,his,po
course,course,n1
Antonius,Antonius,n1-nn
ANTONY,,
Caesar,Caesar,n1-nn
my,my,po
lord,lord,n1
CAESAR,,
Forget,forget,vvb
not,not,xx
in,in,acp-p
your,your,po
speed,speed,n1
Antonius,Antonius,n1-nn
To,to,acp-cs
touch,touch,vvi
Calphurnia,Calphurnia,n1-nn
for,for,acp-p
our,our,po
elders,elder,n2_j
say,say,vvb
The,the,d
barren,barren,j
touchèd,touch,vvn
in,in,acp-p
this,this,d
holy,holy,j
chase,chase,n1
Shake,shake,vvi
off,off,acp-av
their,their,po
sterile,sterile,j
curse,curse,n1
ANTONY,,
I,i,pns
shall,shall,vmb
remember,remember,vvi
When,when,crq-cs
Caesar,Caesar,n1-nn
says,say,vvz
Do,do,vvb
this,this,d
it,it,pn
is,be,vvz
performed,perform,vvn
CAESAR,,
Set,set,vvb
on,on,acp-av
and,and,cc
leave,leave,vvb
no,no,d-x
