standard,lemma,postag
so,so,av
conveyed,convey,vvn
So,so,av
slackly,slack,av_j
guarded,guard,vvn
and,and,cc
the,the,d
search,search,n1
so,so,av
slow,slow,j
That,that,cs
could,can,vmd
not,not,xx
trace,trace,vvi
them,they,pno
FIRST,,
GENTLEMAN,,
Howsoe'er,howsoever,acp-cs
'tis,it|be,pn|vvz
strange,strange,j
Or,or,cc
that,that,cs
the,the,d
negligence,negligence,n1
may,may,vmb
well,well,av
be,be,vvi
laughed,laugh,vvn
at,at,acp-p
Yet,yet,av
is,be,vvz
it,it,pn
true,true,j
sir,sir,n1
SECOND,,
GENTLEMAN,,
I,i,pns
do,do,vvb
well,well,av
believe,believe,vvi
you,you,pn
FIRST,,
GENTLEMAN,,
We,we,pns
must,must,vmb
forbear,forbear,vvi
Here,here,av
comes,come,vvz
the,the,d
gentleman,gentleman,n1
The,the,d
Queen,queen,n1
and,and,cc
Princess,princess,n1
They,,
exit,,
Enter,,
the,,
Queen,,
Posthumus,,
and,,
Imogen,,
QUEEN,,
No,no,uh-x
be,be,vvb
assured,assure,vvn
you,you,pn
shall,shall,vmb
not,not,xx
find,find,vvi
me,i,pno
daughter,daughter,n1
After,after,acp-p
the,the,d
slander,slander,n1
of,of,acp-p
most,most,d-s
stepmothers,stepmother,n2
Evil-eyed,evil-eyed,j
unto,unto,acp-p
you,you,pn
You're,you|be,pn|vvb
my,my,po
prisoner,prisoner,n1
but,but,acp-cc
Your,your,po
jailer,jailer,n1
shall,shall,vmb
deliver,deliver,vvi
you,you,pn
the,the,d
keys,key,n2
That,that,cs
lock,lock,vvb
up,up,acp-av
your,your,po
restraint,restraint,n1
For,for,acp-p
you,you,pn
Posthumus,Posthumus,n1-nn
So,so,av
soon,soon,av
as,as,acp-cs
I,i,pns
can,can,vmb
win,win,vvi
th',the,d
offended,offend,j_vn
king,king,n1
I,i,pns
will,will,vmb
be,be,vvi
known,know,vvn
your,your,po
advocate,advocate,n1
Marry,marry,uh
yet,yet,av
The,the,d
