standard,lemma,postag
you,you,pn
ABRAM,,
No,no,d-x
better,better,j-c
SAMPSON,,
Well,well,uh_mi
sir,sir,n1
Enter,,
Benvolio,,
GREGORY,,
aside,,
to,,
Sampson,,
Say,say,vvb
better,better,av-c_j
here,here,av
comes,come,vvz
one,one,crd
of,of,acp-p
my,my,po
master's,master,n1g
kinsmen,kinsman,n2
SAMPSON,,
Yes,yes,uh
better,better,av-c_j
sir,sir,n1
ABRAM,,
You,you,pn
lie,lie,vvb
SAMPSON,,
Draw,draw,vvb
if,if,cs
you,you,pn
be,be,vvb
men,man,n2
Gregory,Gregory,n1-nn
remember,remember,vvb
thy,thy,po
washing,wash,n1_vg
blow,blow,n1
They,,
fight,,
BENVOLIO,,
Part,part,vvb
fools,fool,n2
Drawing,,
his,,
sword,,
Put,put,vvb
up,up,acp-av
your,your,po
swords,sword,n2
You,you,pn
know,know,vvb
not,not,xx
what,what,crq-r
you,you,pn
do,do,vvb
Enter,,
Tybalt,,
drawing,,
his,,
sword,,
TYBALT,,
What,what,crq-q
art,be,vv2
thou,thou,pns
drawn,draw,vvn
among,among,acp-p
these,these,d
heartless,heartless,j
hinds,hind,n2
Turn,turn,vvb
thee,thou,pno
Benvolio,Benvolio,n1-nn
look,look,vvb
upon,upon,acp-p
thy,thy,po
death,death,n1
BENVOLIO,,
I,i,pns
do,do,vvb
but,but,acp-av
keep,keep,vvi
the,the,d
peace,peace,n1
Put,put,vvb
up,up,acp-av
thy,thy,po
sword,sword,n1
Or,or,cc
manage,manage,vvb
it,it,pn
to,to,acp-p
part,part,vvi
these,these,d
men,man,n2
with,with,acp-p
me,i,pno
TYBALT,,
What,what,crq-q
drawn,draw,vvn
and,and,cc
talk,talk,vvi
of,of,acp-p
peace,peace,n1
I,i,pns
hate,hate,vvb
the,the,d
word,word,n1
As,as,acp-cs
I,i,pns
hate,hate,vvb
hell,hell,n1
all,all,d
Montagues,Montague,n2-nn
and,and,cc
thee,thou,pno
Have,have,vvb
at,at,acp-p
thee,thou,pno
coward,coward,n1
They,,
fight,,
Enter,,
three,,
or,,
four,,
Citizens,,
with,,
clubs,,
or,,
partisans,,
CITIZENS,,
Clubs,club,n2
bills,bill,n2
and,and,cc
partisans,partisan,n2
Strike,strike,vvb
Beat,beat,vvb
them,they,pno
down,down,acp-av
Down,down,acp-av
with,with,acp-p
the,the,d
Capulets,Capulet,n2-nn
Down,down,acp-av
with,with,acp-p
the,the,d
Montagues,Montague,n2-nn
Enter,,
old,,
Capulet,,
in,,
his,,
gown,,
and,,
his,,
Wife,,
CAPULET,,
What,what,crq-q
noise,noise,n1
is,be,vvz
this,this,d
Give,give,vvb
me,i,pno
my,my,po
long,long,j
sword,sword,n1
ho,ho,uh
LADY,,
CAPULET,,
A,a,d
crutch,crutch,n1
a,a,d
crutch,crutch,n1
Why,why,crq-cs
call,call,vvi
you,you,pn
for,for,acp-p
a,a,d
sword,sword,n1
Enter,,
old,,
Montague,,
and,,
his,,
Wife,,
CAPULET,,
My,my,po
sword,sword,n1
I,i,pns
say,say,vvb
Old,old,j
Montague,Montague,n1-nn
is,be,vvz
come,come,vvn
And,and,cc
flourishes,flourish,vvz
his,his,po
blade,blade,n1
in,in,acp-p
spite,spite,n1
of,of,acp-p
me,i,pno
MONTAGUE,,
Thou,thou,pns
villain,villain,n1
Capulet,Capulet,n1-nn
Hold,hold,vvb
me,i,pno
not,not,xx
let,let,vvb
me,i,pno
go,go,vvi
LADY,,
MONTAGUE,,
Thou,thou,pns
shalt,shall,vm2
not,not,xx
stir,stir,vvi
one,one,crd
foot,foot,n1
to,to,acp-cs
seek,seek,vvi
a,a,d
foe,foe,n1
Enter,,
Prince,,
Escalus,,
with,,
his,,
train,,
PRINCE,,
Rebellious,rebellious,j
subjects,subject,n2
enemies,enemy,n2
to,to,acp-p
peace,peace,n1
Profaners,profaner,n2
of,of,acp-p
this,this,d
neighbor-stainèd,neighbour-stained,j
steel,steel,n1
Will,will,vmb
they,they,pns
not,not,xx
hear,hear,vvi
What,what,crq-q
ho,ho,uh
You,you,pn
men,man,n2
you,you,pn
beasts,beast,n2
That,that,cs
quench,quench,vvb
the,the,d
fire,fire,n1
of,of,acp-p
your,your,po
pernicious,pernicious,j
rage,rage,n1
With,with,acp-p
purple,purple,j
fountains,fountain,n2
issuing,issue,vvg
from,from,acp-p
your,your,po
veins,vein,n2
On,on,acp-p
pain,pain,n1
of,of,acp-p
torture,torture,n1
from,from,acp-p
those,those,d
bloody,bloody,j
hands,hand,n2
Throw,throw,vvb
your,your,po
mistempered,mistemper,j_vn
weapons,weapon,n2
to,to,acp-p
the,the,d
ground,ground,n1
And,and,cc
hear,hear,vvb
the,the,d
sentence,sentence,n1
of,of,acp-p
your,your,po
movèd,move,j_vn
prince,prince,n1
Three,three,crd
civil,civil,j
brawls,brawl,n2
bred,breed,vvn
of,of,acp-p
an,a,d
airy,airy,j
word,word,n1
By,by,acp-p
thee,thou,pno
old,old,j
Capulet,Capulet,n1-nn
and,and,cc
Montague,Montague,n1-nn
Have,have,vvb
thrice,thrice,av
disturbed,disturb,vvn
the,the,d
quiet,quiet,n1_j
of,of,acp-p
our,our,po
streets,street,n2
And,and,cc
made,make,vvd
Verona's,Verona,n1g-nn
ancient,ancient,j
citizens,citizen,n2
Cast,cast,vvi
by,by,acp-p
their,their,po
grave-beseeming,grave-beseeming,j
ornaments,ornament,n2
To,to,acp-cs
wield,wield,vvi
old,old,j
partisans,partisan,n2
in,in,acp-p
hands,hand,n2
as,as,acp-av
old,old,j
Cankered,canker,vvn
with,with,acp-p
peace,peace,n1
to,to,acp-p
part,part,vvi
your,your,po
cankered,canker,j_vn
hate,hate,n1
If,if,cs
ever,ever,av
you,you,pn
disturb,disturb,vvb
our,our,po
streets,street,n2
again,again,av
Your,your,po
lives,life,n2
shall,shall,vmb
pay,pay,vvi
the,the,d
forfeit,forfeit,n1_j
of,of,acp-p
the,the,d
peace,peace,n1
For,for,acp-p
this,this,d
time,time,n1
all,all,d
the,the,d
rest,rest,n1
depart,depart,vvb
away,away,av
You,you,pn
Capulet,Capulet,n1-nn
shall,shall,vmb
go,go,vvi
along,along,acp-av
with,with,acp-p
me,i,pno
And,and,cc
Montague,Montague,n1-nn
come,come,vvb
you,you,pn
this,this,d
afternoon,afternoon,n1
To,to,acp-cs
know,know,vvi
our,our,po
farther,far,j-c
pleasure,pleasure,n1
in,in,acp-p
this,this,d
case,case,n1
To,to,acp-p
old,old,j
Free-town,Free-town,n1-nn
our,our,po
common,common,j
judgment-place,judgement-place,n1
Once,once,acp-av
more,more,av-c_d
on,on,acp-p
pain,pain,n1
of,of,acp-p
death,death,n1
all,all,d
men,man,n2
depart,depart,vvb
All,,
but,,
Montague,,
Lady,,
Montague,,
and,,
Benvolio,,
exit,,
MONTAGUE,,
to,,
Benvolio,,
Who,who,crq-q
set,set,vvb
this,this,d
ancient,ancient,j
quarrel,quarrel,n1
new,new,j
abroach,abroach,av
Speak,speak,vvb
nephew,nephew,n1
were,be,vvd
you,you,pn
by,by,acp-p
when,when,crq-cs
it,it,pn
began,begin,vvd
BENVOLIO,,
Here,here,av
were,be,vvd
the,the,d
servants,servant,n2
of,of,acp-p
your,your,po
adversary,adversary,n1
And,and,cc
yours,you,png
close,close,j
fighting,fight,vvg
ere,ere,acp-cs
I,i,pns
did,do,vvd
approach,approach,vvi
I,i,pns
drew,draw,vvd
to,to,acp-cs
part,part,vvi
them,they,pno
In,in,acp-p
the,the,d
instant,instant,n1_j
came,come,vvd
The,the,d
fiery,fiery,j
Tybalt,Tybalt,n1-nn
with,with,acp-p
his,his,po
sword,sword,n1
prepared,prepare,vvn
Which,which,crq-r
as,as,acp-cs
he,he,pns
breathed,breathe,vvd
defiance,defiance,n1
to,to,acp-p
my,my,po
ears,ear,n2
He,he,pns
swung,swing,vvd
about,about,acp-p
his,his,po
head,head,n1
and,and,cc
cut,cut,vvd
the,the,d
winds,wind,n2
Who,who,crq-r
nothing,nothing,pi-x
hurt,hurt,vvn
withal,withal,av
hissed,hiss,vvd
him,he,pno
in,in,acp-p
scorn,scorn,n1
While,while,cs
we,we,pns
were,be,vvd
interchanging,interchange,vvg
thrusts,thrust,n2
and,and,cc
blows,blow,n2
Came,come,vvd
more,more,av-c_d
and,and,cc
more,more,av-c_d
and,and,cc
fought,fight,vvd
on,on,acp-p
part,part,n1
and,and,cc
part,part,n1
Till,till,acp-cs
the,the,d
Prince,prince,n1
came,come,vvd
who,who,crq-r
parted,part,vvd
either,either,d
part,part,n1
LADY,,
MONTAGUE,,
O,oh,uh
where,where,crq-q
is,be,vvz
Romeo,Romeo,n1-nn
Saw,see,vvd
you,you,pn
him,he,pno
today,today,av_n
Right,right,av_j
glad,glad,j
I,i,pns
am,be,vvm
he,he,pns
was,be,vvd
not,not,xx
at,at,acp-p
this,this,d
fray,fray,n1
BENVOLIO,,
Madam,madam,n1
an,a,d
hour,hour,n1
before,before,acp-p
the,the,d
worshiped,worship,j_vn
sun,sun,n1
Peered,peer,vvd
forth,forth,av
the,the,d
golden,golden,j
window,window,n1
of,of,acp-p
the,the,d
east,east,n1
A,a,d
troubled,trouble,j_vn
mind,mind,n1
drove,drive,vvb
me,i,pno
to,to,acp-cs
walk,walk,vvi
abroad,abroad,av
Where,where,crq-cs
underneath,underneath,acp-p
the,the,d
grove,grove,n1
of,of,acp-p
sycamore,sycamore,n1
That,that,cs
westward,westward,av
rooteth,root,vvz
from,from,acp-p
this,this,d
city,city,n1
side,side,n1
So,so,av
early,early,av_j
walking,walk,vvg
did,do,vvd
I,i,pns
see,see,vvi
your,your,po
son,son,n1
Towards,towards,acp-p
him,he,pno
I,i,pns
made,make,vvd
but,but,acp-cc
he,he,pns
was,be,vvd
'ware,ware,j
of,of,acp-p
me,i,pno
And,and,cc
stole,steal,vvd
into,into,acp-p
the,the,d
covert,covert,n1
of,of,acp-p
the,the,d
wood,wood,n1
I,i,pns
measuring,measure,vvg
his,his,po
affections,affection,n2
by,by,acp-p
my,my,po
own,own,d
Which,which,crq-r
then,then,av
most,most,av-s_d
sought,seek,vvn
where,where,crq-cs
most,most,d-s
might,may,vmd
not,not,xx
be,be,vvi
found,find,vvn
Being,be,vvg
one,one,pi
too,too,av
many,many,d
by,by,acp-p
my,my,po
weary,weary,j
self,self,n1
Pursued,pursue,vvd
my,my,po
humor,humour,n1
not,not,xx
pursuing,pursue,vvg
his,he,png
And,and,cc
gladly,glad,av_j
shunned,shun,vvd
who,who,crq-r
gladly,glad,av_j
fled,flee,vvn
from,from,acp-p
me,i,pno
MONTAGUE,,
Many,many,d
a,a,d
morning,morning,n1
hath,have,vvz
he,he,pns
there,there,acp-av
been,be,vvn
seen,see,vvn
With,with,acp-p
tears,tear,n2
augmenting,augment,vvg
the,the,d
fresh,fresh,j
morning's,morning,n1g
dew,dew,n1
Adding,add,vvg
to,to,acp-p
clouds,cloud,n2
more,more,d-c
clouds,cloud,n2
with,with,acp-p
his,his,po
deep,deep,j
sighs,sigh,n2
But,but,acp-cc
all,all,d
so,so,av
soon,soon,av
as,as,acp-cs
the,the,d
all-cheering,all-cheering,j
sun,sun,n1
Should,shall,vmd
in,in,acp-p
the,the,d
farthest,far,j-s
east,east,n1
begin,begin,vvb
to,to,acp-cs
draw,draw,vvi
The,the,d
shady,shady,j
curtains,curtain,n2
from,from,acp-p
Aurora's,Aurora,n1g-nn
bed,bed,n1
Away,away,av
from,from,acp-p
light,light,n1
steals,steal,vvz
home,home,av_n
my,my,po
heavy,heavy,j
son,son,n1
And,and,cc
private,private,j
in,in,acp-p
his,his,po
chamber,chamber,n1
pens,pen,vvz
himself,himself,px
Shuts,shut,vvz
up,up,acp-av
his,his,po
windows,window,n2
locks,lock,vvz
fair,fair,j
daylight,daylight,n1
out,out,av
And,and,cc
makes,make,vvz
himself,himself,px
an,a,d
artificial,artificial,j
night,night,n1
Black,black,j
and,and,cc
portentous,portentous,j
must,must,vmb
