standard,lemma,postag
homeward,homeward,av
which,which,crq-r
to,to,acp-cs
hinder,hinder,vvi
Were,be,vvd
in,in,acp-p
your,your,po
love,love,n1
a,a,d
whip,whip,n1
to,to,acp-p
me,i,pno
my,my,po
stay,stay,n1
To,to,acp-p
you,you,pn
a,a,d
charge,charge,n1
and,and,cc
trouble,trouble,n1
To,to,acp-cs
save,save,vvi
both,both,av_d
Farewell,farewell,uh_n
our,our,po
brother,brother,n1
LEONTES,,
Tongue-tied,tongue-tied,j
our,our,po
queen,queen,n1
Speak,speak,vvb
you,you,pn
HERMIONE,,
I,i,pns
had,have,vvd
thought,think,vvn
sir,sir,n1
to,to,acp-cs
have,have,vvi
held,hold,vvn
my,my,po
peace,peace,n1
until,until,acp-cs
You,you,pn
had,have,vvd
drawn,draw,vvn
oaths,oath,n2
from,from,acp-p
him,he,pno
not,not,xx
to,to,acp-cs
stay,stay,vvi
You,you,pn
sir,sir,n1
Charge,charge,vvb
him,he,pno
too,too,av
coldly,cold,av_j
Tell,tell,vvb
him,he,pno
you,you,pn
are,be,vvb
sure,sure,j
All,all,d
in,in,acp-p
Bohemia's,Bohemia|be,n1-nn|vvz
well,well,av
This,this,d
satisfaction,satisfaction,n1
The,the,d
bygone,by-gone,j
day,day,n1
proclaimed,proclaim,vvn
Say,say,vvb
this,this,d
to,to,acp-p
him,he,pno
He's,he|be,pns|vvz
beat,beat,vvn
from,from,acp-p
his,his,po
best,best,j-s
ward,ward,n1
LEONTES,,
Well,well,av
said,say,vvn
Hermione,Hermione,n1-nn
HERMIONE,,
To,to,acp-cs
tell,tell,vvi
he,he,pns
longs,long,vvz
to,to,acp-cs
see,see,vvi
his,his,po
son,son,n1
were,be,vvd
strong,strong,j
But,but,acp-cc
let,let,vvb
him,he,pno
say,say,vvi
so,so,av
then,then,av
and,and,cc
let,let,vvb
him,he,pno
go,go,vvi
But,but,acp-cc
let,let,vvb
him,he,pno
swear,swear,vvi
so,so,av
and,and,cc
he,he,pns
shall,shall,vmb
not,not,xx
stay,stay,vvi
We'll,we|will,pns|vmb
thwack,thwack,vvi
him,he,pno
hence,hence,av
with,with,acp-p
distaffs,distaff,n2
To,,
Polixenes,,
Yet,yet,av
of,of,acp-p
your,your,po
royal,royal,j
presence,presence,n1
I'll,i|will,pns|vmb
adventure,adventure,vvi
The,the,d
borrow,borrow,vvb
of,of,acp-p
a,a,d
week,week,n1
When,when,crq-cs
at,at,acp-p
Bohemia,Bohemia,n1-nn
You,you,pn
take,take,vvb
my,my,po
lord,lord,n1
I'll,i|will,pns|vmb
give,give,vvi
him,he,pno
my,my,po
commission,commission,n1
To,to,acp-cs
let,let,vvi
him,he,pno
there,there,acp-av
a,a,d
month,month,n1
behind,behind,acp-p
the,the,d
gest,gest,n1
Prefixed,prefix,vvn
for,for,acp-p
's,his,po
parting,part,vvg
Yet,yet,av
good,good,j
deed,deed,n1
Leontes,Leontes,n1-nn
I,i,pns
love,love,vvb
thee,thou,pno
not,not,xx
a,a,d
jar,jar,n1
o',of,acp-p
th',the,d
clock,clock,n1
behind,behind,acp-p
What,what,crq-r
lady,lady,n1
she,she,pns
her,her,po
lord,lord,n1
You'll,you|will,pn|vmb
stay,stay,vvi
POLIXENES,,
No,no,uh-x
madam,madam,n1
HERMIONE,,
Nay,nay,uh
but,but,acp-cc
you,you,pn
will,will,vmb
POLIXENES,,
I,i,pns
may,may,vmb
not,not,xx
verily,very,av_j
HERMIONE,,
Verily,very,av_j
You,you,pn
put,put,vvb
me,i,pno
off,off,acp-av
with,with,acp-p
limber,limber,j
vows,vow,n2
But,but,acp-cc
I,i,pns
Though,though,cs
you,you,pn
would,will,vmd
seek,seek,vvi
t',to,acp-cs
unsphere,unsphere,vvi
the,the,d
stars,star,n2
with,with,acp-p
oaths,oath,n2
Should,shall,vmd
yet,yet,av
say,say,vvi
Sir,sir,n1
no,no,d-x
going,go,vvg
Verily,very,av_j
You,you,pn
shall,shall,vmb
not,not,xx
go,go,vvi
A,a,d
lady's,lady,n1g
verily,very,av_j
is,be,vvz
As,as,acp-av
potent,potent,j
as,as,acp-cs
a,a,d
lord's,lord,n1g
Will,will,vmb
you,you,pn
go,go,vvi
yet,yet,av
Force,force,vvb
me,i,pno
to,to,acp-cs
keep,keep,vvi
you,you,pn
as,as,acp-p
a,a,d
prisoner,prisoner,n1
Not,not,xx
like,like,acp-p
a,a,d
guest,guest,n1
so,so,av
you,you,pn
shall,shall,vmb
pay,pay,vvi
your,your,po
fees,fee,n2
When,when,crq-cs
you,you,pn
depart,depart,vvb
and,and,cc
save,save,vvb
your,your,po
thanks,thank,n2
How,how,crq-q
say,say,vvb
you,you,pn
My,my,po
prisoner,prisoner,n1
or,or,cc
my,my,po
guest,guest,n1
By,by,acp-p
your,your,po
dread,dread,n1
verily,very,av_j
One,one,crd
of,of,acp-p
them,they,pno
you,you,pn
shall,shall,vmb
be,be,vvi
POLIXENES,,
Your,your,po
guest,guest,n1
then,then,av
madam,madam,n1
To,to,acp-cs
be,be,vvi
your,your,po
prisoner,prisoner,n1
should,shall,vmd
import,import,vvi
offending,offend,vvg
Which,which,crq-r
is,be,vvz
for,for,acp-p
me,i,pno
less,less,av-c_d
easy,easy,j
to,to,acp-cs
commit,commit,vvi
Than,than,cs
you,you,pn
to,to,acp-cs
punish,punish,vvi
HERMIONE,,
Not,not,xx
your,your,po
jailer,jailer,n1
then,then,av
But,but,acp-cc
your,your,po
kind,kind,j
hostess,hostess,n1
Come,come,vvb
I'll,i|will,pns|vmb
question,question,vvi
you,you,pn
Of,of,acp-p
my,my,po
lord's,lord,n1g
tricks,trick,n2
and,and,cc
yours,you,png
when,when,crq-cs
you,you,pn
were,be,vvd
boys,boy,n2
You,you,pn
were,be,vvd
pretty,pretty,j
lordings,lording,n2
then,then,av
POLIXENES,,
We,we,pns
were,be,vvd
fair,fair,j
queen,queen,n1
Two,two,crd
lads,lad,n2
that,that,cs
thought,think,vvd
there,there,acp-av
was,be,vvd
no,no,av-x_d
more,more,av-c_d
behind,behind,acp-av
But,but,acp-cc
such,such,d
a,a,d
day,day,n1
tomorrow,tomorrow,av_n
as,as,acp-cs
today,today,av_n
And,and,cc
to,to,acp-cs
be,be,vvi
boy,boy,n1
eternal,eternal,j
HERMIONE,,
Was,be,vvd
not,not,xx
my,my,po
lord,lord,n1
The,the,d
verier,very,j-c
wag,wag,n1
o',of,acp-p
th',the,d
two,two,crd
POLIXENES,,
We,we,pns
were,be,vvd
as,as,acp-p
twinned,twin,j_vn
lambs,lamb,n2
that,that,cs
did,do,vvd
frisk,frisk,vvi
i',in,acp-p
th',the,d
sun,sun,n1
And,and,cc
bleat,bleat,vvb
the,the,d
one,one,pi
at,at,acp-p
th',the,d
other,other,pi_d
What,what,crq-r
we,we,pns
changed,change,vvd
Was,be,vvd
innocence,innocence,n1
for,for,acp-p
innocence,innocence,n1
We,we,pns
knew,know,vvd
not,not,xx
The,the,d
doctrine,doctrine,n1
of,of,acp-p
ill-doing,ill-doing,n1
nor,nor,cc-x
dreamed,dream,vvd
That,that,cs
any,any,d
did,do,vvd
Had,have,vvd
we,we,pns
pursued,pursue,vvn
that,that,d
life,life,n1
And,and,cc
our,our,po
weak,weak,j
spirits,spirit,n2
ne'er,never,av-x
been,be,vvn
higher,high,av-c_j
reared,rear,vvn
With,with,acp-p
stronger,strong,j-c
blood,blood,n1
we,we,pns
should,shall,vmd
have,have,vvi
answered,answer,vvn
heaven,heaven,n1
Boldly,bold,av_j
Not,not,xx
guilty,guilty,j
the,the,d
imposition,imposition,n1
cleared,clear,vvn
Hereditary,hereditary,j
ours,we,png
HERMIONE,,
By,by,acp-p
this,this,d
we,we,pns
gather,gather,vvb
You,you,pn
have,have,vvb
tripped,trip,vvn
since,since,acp-av
POLIXENES,,
O,oh,uh
my,my,po
most,most,av-s_d
sacred,sacred,j
lady,lady,n1
Temptations,temptation,n2
have,have,vvb
since,since,acp-p
then,then,av
been,be,vvn
born,bear,vvn
to,to,acp-p
's,we,pno
for,for,acp-cs
In,in,acp-p
those,those,d
unfledged,unfledged,j_vn
days,day,n2
was,be,vvd
my,my,po
wife,wife,n1
a,a,d
girl,girl,n1
Your,your,po
precious,precious,j
self,self,n1
had,have,vvd
then,then,av
not,not,xx
crossed,cross,vvn
the,the,d
eyes,eye,n2
Of,of,acp-p
my,my,po
young,young,j
playfellow,playfellow,n1
HERMIONE,,
Grace,grace,n1
to,to,acp-cs
boot,boot,n1
Of,of,acp-p
this,this,d
make,make,vvb
no,no,d-x
conclusion,conclusion,n1
lest,lest,cs
you,you,pn
say,say,vvb
Your,your,po
queen,queen,n1
and,and,cc
I,i,pns
are,be,vvb
devils,devil,n2
Yet,yet,av
go,go,vvb
on,on,acp-av
Th',the,d
